1, 0
2, 1
3, 0
4, 0
5, 0
6, 0
7, 0
8, 1
9, 0
10, 0
11, 1
12, 1
13, 0
14, 1
15, 0
16, 0
17, 1
18, 1
19, 1
20, 1
21, 0
22, 0
23, 0
24, 0
25, 1
26, 0
27, 1
28, 0
29, 1
30, 1
31, 1
32, 0
33, 0
34, 1
35, 0
36, 1
37, 1
38, 0
39, 1
40, 0
41, 0
42, 0
43, 0
44, 0
45, 1
46, 1
47, 0
48, 1
49, 0
50, 1
51, 1
52, 1
53, 1
54, 0
55, 0
56, 1
57, 0
58, 1
59, 1
60, 1
61, 1
62, 1
63, 0
64, 0
65, 0
66, 1
67, 0
68, 0
69, 1
70, 1
71, 0
72, 0
73, 1
74, 1
75, 1
76, 1
77, 0
78, 0
79, 1
80, 1
81, 1
82, 1
83, 1
84, 1
85, 1
86, 1
87, 0
88, 1
89, 1
90, 0
91, 0
92, 1
93, 1
94, 1
95, 1
96, 1
97, 1
98, 0
99, 0
100, 1
101, 1
102, 0
103, 1
104, 0
105, 1
106, 0
107, 1
108, 0
109, 0
110, 0
111, 0
112, 1
113, 0
114, 0
115, 1
116, 1
117, 1
118, 1
119, 0
120, 0
121, 0
122, 0
123, 0
124, 1
125, 0
126, 0
127, 0
128, 0
129, 0
130, 0
131, 0
132, 1
133, 0
134, 0
135, 0
136, 0
137, 0
138, 1
139, 0
140, 0
141, 1
142, 0
143, 0
144, 0
145, 1
146, 0
147, 0
148, 1
149, 1
150, 1
151, 0
152, 0
153, 1
154, 1
155, 0
156, 1
157, 1
158, 0
159, 1
160, 0
161, 0
162, 0
163, 0
164, 0
165, 0
166, 0
167, 1
168, 1
169, 1
170, 0
171, 1
172, 1
173, 1
174, 0
175, 1
176, 1
177, 1
178, 0
179, 1
180, 0
181, 0
182, 0
183, 0
184, 1
185, 0
186, 1
187, 0
188, 0
189, 1
190, 1
191, 0
192, 0
193, 1
194, 0
195, 0
196, 1
197, 0
198, 1
199, 1
200, 1
201, 0
202, 0
203, 0
204, 1
205, 0
206, 0
207, 0
208, 0
209, 0
210, 0
211, 0
212, 1
213, 1
214, 0
215, 0
216, 0
217, 1
218, 1
219, 0
220, 0
221, 1
222, 0
223, 0
224, 1
225, 1
226, 0
227, 0
228, 0
229, 1
230, 1
231, 0
232, 0
233, 0
234, 0
235, 0
236, 1
237, 1
238, 0
239, 1
240, 1
241, 1
242, 0
243, 0
244, 0
245, 1
246, 1
247, 0
248, 1
249, 1
250, 0
251, 1
252, 0
253, 1
254, 1
255, 1
256, 1
257, 0
258, 0
259, 0
260, 0
261, 0
262, 1
263, 1
264, 1
265, 0
266, 0
267, 0
268, 1
269, 0
270, 0
271, 1
272, 1
273, 1
274, 1
275, 0
276, 0
277, 1
278, 0
279, 1
280, 1
281, 0
282, 0
283, 0
284, 1
285, 1
286, 0
287, 1
288, 0
289, 0
290, 0
291, 1
292, 0
293, 0
294, 0
295, 1
296, 0
297, 0
298, 1
299, 0
300, 1
301, 0
302, 0
303, 1
304, 1
305, 1
306, 1
307, 0
308, 1
309, 1
310, 0
311, 1
312, 1
313, 0
314, 1
315, 0
316, 1
317, 0
318, 1
319, 0
320, 0
321, 0
322, 1
323, 0
324, 0
325, 0
326, 0
327, 1
328, 0
329, 1
330, 1
331, 0
332, 0
333, 1
334, 0
335, 0
336, 1
